id,name,population,state,state_id
2368,Buffalo,2036,South Dakota,42
2369,Butte,10222,South Dakota,42
2370,Campbell,1377,South Dakota,42
2371,Charles Mix,9338,South Dakota,42
2372,Clark,3739,South Dakota,42
2373,Clay,14041,South Dakota,42
2374,Codington,28015,South Dakota,42
2375,Corson,4165,South Dakota,42
2376,Custer,8726,South Dakota,42
2377,Davison,19790,South Dakota,42
2378,Day,5505,South Dakota,42
2379,Deuel,4337,South Dakota,42
2380,Dewey,5904,South Dakota,42
2381,Douglas,2935,South Dakota,42
2382,Edmunds,3875,South Dakota,42
2383,Fall River,6758,South Dakota,42
2384,Faulk,2330,South Dakota,42
2385,Grant,7147,South Dakota,42
2386,Gregory,4212,South Dakota,42
2387,Haakon,1918,South Dakota,42
2388,Hamlin,6111,South Dakota,42
2389,Hand,3262,South Dakota,42
2390,Hanson,3376,South Dakota,42
2391,Harding,1249,South Dakota,42
2392,Hughes,17650,South Dakota,42
2393,Hutchinson,7380,South Dakota,42
2394,Hyde,1282,South Dakota,42
2395,Jackson,3307,South Dakota,42
2396,Jerauld,2043,South Dakota,42
2397,Jones,928,South Dakota,42
2398,Kingsbury,4919,South Dakota,42
2399,Lake,13057,South Dakota,42
2400,Lawrence,25741,South Dakota,42
2401,Lincoln,58807,South Dakota,42
2402,Lyman,3821,South Dakota,42
2403,McCook,5546,South Dakota,42
2404,McPherson,2407,South Dakota,42
2405,Marshall,5112,South Dakota,42
2406,Meade,28294,South Dakota,42
2407,Mellette,2042,South Dakota,42
2408,Miner,2213,South Dakota,42
2409,Minnehaha,192876,South Dakota,42
2410,Moody,6579,South Dakota,42
2411,Oglala Lakota,14309,South Dakota,42
2412,Pennington,111729,South Dakota,42
2413,Perkins,2922,South Dakota,42
2414,Potter,2207,South Dakota,42
2415,Roberts,10447,South Dakota,42
2416,Sanborn,2429,South Dakota,42
2417,Spink,6495,South Dakota,42
2418,Stanley,3022,South Dakota,42
2419,Sully,1392,South Dakota,42
2420,Todd,10283,South Dakota,42
2421,Tripp,5478,South Dakota,42
2422,Turner,8424,South Dakota,42
2423,Union,15619,South Dakota,42
